Reference;Value;Footprint;Datasheet;DNF;Extended Part Cost;JLC code;Part name;Sim.Enable;cost per unit;Qty;cost
TP2;battery charger;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP3;UVLO;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP4;+battery out;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP5;reverse polarity ;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP6;3.3v out;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP7;Pot ADC;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP8;Therm ADC;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP9;Light SDA;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP10;Light SCL;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP11;Light Interrupt;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP14;NSRT;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP15;Switch1;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP16;Switch2;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP17;Switch3;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP18;STM32 3V3;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP19;STM32 LED1;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP20;STM32 LED2;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP21;STM32 GND;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP22;STM32 BOOT0;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP23;STM32 Tx;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP24;STM32 Rx;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP25;EEPROM SDA;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP26;EEPROM SCL;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP27;USB D-;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
TP28;USB D+;footprint:Testpoint_2.54mm;~;;0;;;;0;1;0
U1;Battery Charger;footprint:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP;;;0;C16581;TP4056;;0,2064;1;1,032
U2;LMV321;footprint:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR;http://www.ti.com/lit/ds/symlink/lmv324.pdf;;0;C7972;LMV321;;0,1439;1;0,7195
U3;XC6206PxxxMR;footprint:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR;https://www.torexsemi.com/file/xc6206/XC6206.pdf;;0;C5446;XC6206P332MR;;0,0964;1;0,482
U4;GXHTC3;footprint:DFN-6_L2.0-W2.0-P0.50-BL-EP;;;3;C2837688;GXHTC3;;0,8714;1;7,357
U5;LTR-303ALS-01;footprint:SOT-363_L2.0-W1.3-P0.65-LS2.1-BL;http://optoelectronics.liteon.com/upload/download/DS86-2013-0004/LTR-303ALS-01_DS_V1.pdf;;3;C364577;LTR-303ALS-01;;0,3762;1;4,881
u6;battery holder;footprint:BATTERY-SMD_18650-1S-L77.1-W20.7-1;~;x;0;C2988620;BH-18650-B1BA002;;0;1;0
U7;24LC256;footprint:PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL;http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf;;3;C411624;24LC256;;1,6033;1;11,0165
U8;usb;footprint:MICRO-USB-SMD_MICROXNJ;;;3;C404969;MicroXNJ;;0,0333;1;3,1665
U9;HT42B534-2;footprint:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL;;;3;C493294;HT42B534-2;;0,7554;1;6,777
;;;;;;;;;;;51,593
